,date,fund,company,ticker,cusip,shares,market value ($),weight
0,2022-08-24,ARKQ,TESLA INC,TSLA,88160R101,150797,$134112819.92,11.62
1,2022-08-24,ARKQ,TRIMBLE INC,TRMB,896239100,1461824,$97883735.04,8.48
2,2022-08-24,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,6618836,$92928457.44,8.05
3,2022-08-24,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,1575945,$70302906.45,6.09
4,2022-08-24,ARKQ,UIPATH INC - CLASS A,PATH,90364P105,3835055,$64697377.85,5.6
5,2022-08-24,ARKQ,DEERE & CO,DE,244199105,155658,$58353071.04,5.05
6,2022-08-24,ARKQ,AEROVIRONMENT INC,AVAV,008073108,618933,$58229216.64,5.04
7,2022-08-24,ARKQ,TERADYNE INC,TER,880770102,424773,$39495393.54,3.42
8,2022-08-24,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,1816402,$37708505.52,3.27
9,2022-08-24,ARKQ,VELO3D INC,VLD,92259N104,6973983,$29151248.94,2.52
10,2022-08-24,ARKQ,ARCHER AVIATION INC-A,ACHR,03945R102,7783700,$28721853.00,2.49
11,2022-08-24,ARKQ,BLADE AIR MOBILITY INC,BLDE,092667104,5710265,$28665530.30,2.48
12,2022-08-24,ARKQ,3D SYSTEMS CORP,DDD,88554D205,2808817,$28649933.40,2.48
13,2022-08-24,ARKQ,ELBIT SYSTEMS LTD,ESLT,M3760D101,124642,$25552856.42,2.21
14,2022-08-24,ARKQ,MARKFORGED HOLDING CORP,MKFG,57064N102,10489140,$24859261.80,2.15
15,2022-08-24,ARKQ,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,3233600,$24252000.00,2.1
16,2022-08-24,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,349198,$24101645.96,2.09
17,2022-08-24,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,209070,$23994963.90,2.08
18,2022-08-24,ARKQ,UNITY SOFTWARE INC,U,91332U101,499701,$22446568.92,1.94
19,2022-08-24,ARKQ,MAGNA INTERNATIONAL INC,MGA,559222401,360458,$21310276.96,1.85
20,2022-08-24,ARKQ,VUZIX CORP,VUZI,92921W300,2763242,$20973006.78,1.82
21,2022-08-24,ARKQ,NANO DIMENSION LTD - ADR,NNDM,63008G203,6698294,$20563762.58,1.78
22,2022-08-24,ARKQ,CATERPILLAR INC,CAT,149123101,98730,$19470543.30,1.69
23,2022-08-24,ARKQ,PROTO LABS INC,PRLB,743713109,418904,$17007502.40,1.47
24,2022-08-24,ARKQ,XPENG INC - ADR,XPEV,98422D105,906321,$16975392.33,1.47
25,2022-08-24,ARKQ,STRATASYS LTD,SSYS,M85548101,816530,$14583225.80,1.26
26,2022-08-24,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,2362299,$14433646.89,1.25
27,2022-08-24,ARKQ,SYNOPSYS INC,SNPS,871607107,38519,$13828321.00,1.2
28,2022-08-24,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,879360105,35474,$13607116.92,1.18
29,2022-08-24,ARKQ,ANSYS INC,ANSS,03662Q105,49036,$12717976.96,1.1
30,2022-08-24,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,55742,$12085423.02,1.05
31,2022-08-24,ARKQ,LOCKHEED MARTIN CORP,LMT,539830109,27266,$11809449.92,1.02
32,2022-08-24,ARKQ,MATERIALISE NV-ADR,MTLS,57667T100,1017595,$11620934.90,1.01
33,2022-08-24,ARKQ,NIO INC - ADR,NIO,62914V106,372097,$6805654.13,0.59
34,2022-08-24,ARKQ,GENERAL MOTORS CO,GM,37045V100,144624,$5576701.44,0.48
35,2022-08-24,ARKQ,2U INC,TWOU,90214J101,636718,$4718080.38,0.41
36,2022-08-24,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,68620A203,90090,$234234.00,0.02
