,date,fund,company,ticker,cusip,shares,market value ($),weight
0,2022-08-24,ARKG,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,6741740,$186611363.20,6.83
1,2022-08-24,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,4759368,$170956498.56,6.26
2,2022-08-24,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,3799195,$166632692.70,6.1
3,2022-08-24,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,4312728,$128691803.52,4.71
4,2022-08-24,ARKG,TELADOC HEALTH INC,TDOC,87918A105,3890469,$127451764.44,4.67
5,2022-08-24,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,1713532,$117719648.40,4.31
6,2022-08-24,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,1995892,$108257182.08,3.96
7,2022-08-24,ARKG,SCHRODINGER INC,SDGR,80810D103,3842022,$108306600.18,3.96
8,2022-08-24,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,1735286,$105088920.16,3.85
9,2022-08-24,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,2509697,$104629267.93,3.83
10,2022-08-24,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,9033201,$97106910.75,3.55
11,2022-08-24,ARKG,CAREDX INC,CDNA,14167L103,4401771,$91732907.64,3.36
12,2022-08-24,ARKG,VERVE THERAPEUTICS INC,VERV,92539P101,2197511,$80802479.47,2.96
13,2022-08-24,ARKG,INCYTE CORP,INCY,45337C102,1054020,$76932919.80,2.82
14,2022-08-24,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,12500850,$75130108.50,2.75
15,2022-08-24,ARKG,908 DEVICES INC,MASS,65443P102,3624230,$71651027.10,2.62
16,2022-08-24,ARKG,ACCOLADE INC,ACCD,00437E102,6054337,$68716724.95,2.52
17,2022-08-24,ARKG,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,24476095,$65840695.55,2.41
18,2022-08-24,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,211746,$60612292.50,2.22
19,2022-08-24,ARKG,UIPATH INC - CLASS A,PATH,90364P105,3036764,$51230208.68,1.88
20,2022-08-24,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,234560,$49616476.80,1.82
21,2022-08-24,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,9017882,$48786741.62,1.79
22,2022-08-24,ARKG,VERACYTE INC,VCYT,92337F107,1814385,$38936702.10,1.43
23,2022-08-24,ARKG,QUANTUM-SI INC,QSI,74765K105,11495702,$38625558.72,1.41
24,2022-08-24,ARKG,SOMALOGIC INC,SLGC,83444K105,9739809,$36232089.48,1.33
25,2022-08-24,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,2232539,$36122481.02,1.32
26,2022-08-24,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,3438218,$34485326.54,1.26
27,2022-08-24,ARKG,CODEXIS INC,CDXS,192005106,4372669,$33276011.09,1.22
28,2022-08-24,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,923928,$32734769.04,1.2
29,2022-08-24,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,2767878,$32494887.72,1.19
30,2022-08-24,ARKG,REPARE THERAPEUTICS INC,RPTX,760273102,2693310,$32131188.30,1.18
31,2022-08-24,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,48443,$29188360.79,1.07
32,2022-08-24,ARKG,GUARDANT HEALTH INC,GH,40131M109,554833,$26615339.01,0.97
33,2022-08-24,ARKG,PFIZER INC,PFE,717081103,544741,$26153015.41,0.96
34,2022-08-24,ARKG,MODERNA INC,MRNA,60770K107,167339,$24060001.42,0.88
35,2022-08-24,ARKG,PERSONALIS INC,PSNL,71535D106,5573194,$21345333.02,0.78
36,2022-08-24,ARKG,ATAI LIFE SCIENCES NV,ATAI UQ,N0731H103,4653563,$20568748.46,0.75
37,2022-08-24,ARKG,INVITAE CORP,NVTA,46185L103,5800907,$19781092.87,0.72
38,2022-08-24,ARKG,CERUS CORP,CERS,157085101,4110544,$18702975.20,0.68
39,2022-08-24,ARKG,ZYMERGEN INC,ZY,98985X100,7655761,$18220711.18,0.67
40,2022-08-24,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,992316,$16174750.80,0.59
41,2022-08-24,ARKG,BERKELEY LIGHTS INC,BLI,084310101,3063636,$12407725.80,0.45
42,2022-08-24,ARKG,SURFACE ONCOLOGY INC,SURF,86877M209,6223420,$9895237.80,0.36
43,2022-08-24,ARKG,SENTI BIOSCIENCES INC,SNTI,81726A100,2134044,$4268088.00,0.16
44,2022-08-24,ARKG,1LIFE HEALTHCARE INC,ONEM,68269G107,162065,$2828034.25,0.1
45,2022-08-24,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,101266,$1779243.62,0.07
46,2022-08-24,ARKG,COMPUGEN LTD,CGEN,M25722105,762341,$968173.07,0.04
47,2022-08-24,ARKG,ORGANOVO HOLDINGS INC,ONVO ,68620A203,189782,$493433.20,0.02
