,date,fund,company,ticker,cusip,shares,market value ($),weight
0,2022-08-24,ARKW,TESLA INC,TSLA,88160R101,152092,$135264541.12,9.54
1,2022-08-24,ARKW,ROKU INC,ROKU,77543R102,1505305,$103640249.25,7.31
2,2022-08-24,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,1229426,$99976922.32,7.05
3,2022-08-24,ARKW,BLOCK INC,SQ,852234103,1275117,$90456799.98,6.38
4,2022-08-24,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,1262043,$89832220.74,6.33
5,2022-08-24,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,5971459,$80793840.27,5.7
6,2022-08-24,ARKW,DRAFTKINGS INC-CL A,DKNG UW,26142V105,4248181,$72473967.86,5.11
7,2022-08-24,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,2060085,$66890959.95,4.72
8,2022-08-24,ARKW,TWILIO INC - A,TWLO,90138F102,901224,$65645156.16,4.63
9,2022-08-24,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,1566051,$64317714.57,4.53
10,2022-08-24,ARKW,TELADOC HEALTH INC,TDOC,87918A105,1885974,$61784508.24,4.36
11,2022-08-24,ARKW,UIPATH INC - CLASS A,PATH,90364P105,3220132,$54323626.84,3.83
12,2022-08-24,ARKW,UNITY SOFTWARE INC,U,91332U101,1111152,$49912947.84,3.52
13,2022-08-24,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,359016,$38784498.48,2.73
14,2022-08-24,ARKW,PAGERDUTY INC,PD,69553P100,1475051,$38425078.55,2.71
15,2022-08-24,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,3804620,$34926411.60,2.46
16,2022-08-24,ARKW,VUZIX CORP,VUZI,92921W300,3959234,$30050586.06,2.12
17,2022-08-24,ARKW,MONDAY.COM LTD,MNDY,M7S64H106,244472,$29373310.80,2.07
18,2022-08-24,ARKW,MERCADOLIBRE INC,MELI,58733R102,32594,$28912181.76,2.04
19,2022-08-24,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,316874,$20679197.24,1.46
20,2022-08-24,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,5174083,$20644591.17,1.46
21,2022-08-24,ARKW,VERACYTE INC,VCYT,92337F107,941006,$20193988.76,1.42
22,2022-08-24,ARKW,NANO DIMENSION LTD - ADR,NNDM,63008G203,5947544,$18258960.08,1.29
23,2022-08-24,ARKW,ADYEN NV-UNSPON ADR,ADYEY,00783V104,1134797,$17873052.75,1.26
24,2022-08-24,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,85037,$16357717.32,1.15
25,2022-08-24,ARKW,NEXTDOOR HOLDINGS INC,KIND,65345M108,5000332,$16051065.72,1.13
26,2022-08-24,ARKW,NVIDIA CORP,NVDA,67066G104,86544,$14869124.64,1.05
27,2022-08-24,ARKW,SEA LTD-ADR,SE,81141R100,172777,$10950606.26,0.77
28,2022-08-24,ARKW,ENDEAVOR GROUP HOLD-CLASS A,EDR  UN,29260Y109,465117,$10600016.43,0.75
29,2022-08-24,ARKW,2U INC,TWOU,90214J101,1151829,$8535052.89,0.6
30,2022-08-24,ARKW,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,1575008,$7182036.48,0.51
