,date,fund,company,ticker,cusip,shares,market value ($),weight
0,2022-08-24,ARKK,TESLA INC,TSLA,88160R101,959025,$852918474.00,10.32
1,2022-08-24,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,7899948,$642423771.36,7.77
2,2022-08-24,ARKK,ROKU INC,ROKU,77543R102,8392992,$577857499.20,6.99
3,2022-08-24,ARKK,BLOCK INC,SQ,852234103,5399399,$383033365.06,4.63
4,2022-08-24,ARKK,TELADOC HEALTH INC,TDOC,87918A105,11530887,$377751858.12,4.57
5,2022-08-24,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,5407104,$371468044.80,4.5
6,2022-08-24,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,6049927,$366383579.12,4.43
7,2022-08-24,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,10070901,$361746763.92,4.38
8,2022-08-24,ARKK,UNITY SOFTWARE INC,U,91332U101,7883968,$354147842.56,4.29
9,2022-08-24,ARKK,UIPATH INC - CLASS A,PATH,90364P105,20760260,$350225586.20,4.24
10,2022-08-24,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,6069676,$329219226.24,3.98
11,2022-08-24,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,4599536,$327394972.48,3.96
12,2022-08-24,ARKK,TWILIO INC - A,TWLO,90138F102,4197639,$305756024.76,3.7
13,2022-08-24,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,8396653,$272639322.91,3.3
14,2022-08-24,ARKK,DRAFTKINGS INC-CL A,DKNG UW,26142V105,14649873,$249926833.38,3.02
15,2022-08-24,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,5721258,$234972066.06,2.84
16,2022-08-24,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,7998701,$221404043.68,2.68
17,2022-08-24,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,6759552,$201705031.68,2.44
18,2022-08-24,ARKK,PAGERDUTY INC,PD,69553P100,7662030,$199595881.50,2.42
19,2022-08-24,ARKK,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,70148552,$188699604.88,2.28
20,2022-08-24,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,20262300,$186007914.00,2.25
21,2022-08-24,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,3766349,$157019089.81,1.9
22,2022-08-24,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,3037852,$107631096.36,1.3
23,2022-08-24,ARKK,VERACYTE INC,VCYT,92337F107,4803682,$103087015.72,1.25
24,2022-08-24,ARKK,NVIDIA CORP,NVDA,67066G104,495071,$85058148.51,1.03
25,2022-08-24,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,13731670,$82527336.70,1.0
26,2022-08-24,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,716766,$77432230.98,0.94
27,2022-08-24,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,9934390,$74507925.00,0.9
28,2022-08-24,ARKK,INVITAE CORP,NVTA,46185L103,18960743,$64656133.63,0.78
29,2022-08-24,ARKK,CERUS CORP,CERS,157085101,10972593,$49925298.15,0.6
30,2022-08-24,ARKK,2U INC,TWOU,90214J101,6045706,$44798681.46,0.54
31,2022-08-24,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,3911780,$44672527.60,0.54
32,2022-08-24,ARKK,BERKELEY LIGHTS INC,BLI,084310101,2672488,$10823576.40,0.13
33,2022-08-24,ARKK,COMPUGEN LTD,CGEN,M25722105,1757774,$2232372.98,0.03
