,date,fund,company,ticker,cusip,shares,market value ($),weight
0,2022-08-24,ARKX,TRIMBLE INC,TRMB,896239100,493576,$33049848.96,10.61
1,2022-08-24,ARKX,KRATOS DEFENSE & SECURITY,KTOS,50077B207,1757832,$24679961.28,7.92
2,2022-08-24,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,538637,$24028596.57,7.71
3,2022-08-24,ARKX,AEROVIRONMENT INC,AVAV,008073108,242356,$22800852.48,7.32
4,2022-08-24,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,502431109,76666,$17797245.24,5.71
5,2022-08-24,ARKX,THE 3D PRINTING ETF,PRNT,00214Q500,760245,$17105512.50,5.49
6,2022-08-24,ARKX,KOMATSU LTD,6301,6496584,581988,$12171992.16,3.91
7,2022-08-24,ARKX,DEERE & CO,DE,244199105,25256,$9467969.28,3.04
8,2022-08-24,ARKX,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,231812,$9139284.46,2.93
9,2022-08-24,ARKX,BLADE AIR MOBILITY INC,BLDE,092667104,1793214,$9001934.28,2.89
10,2022-08-24,ARKX,AMAZON.COM INC,AMZN,023135106,67112,$8967505.44,2.88
11,2022-08-24,ARKX,UIPATH INC - CLASS A,PATH,90364P105,482711,$8143334.57,2.61
12,2022-08-24,ARKX,TERADYNE INC,TER,880770102,84606,$7866665.88,2.52
13,2022-08-24,ARKX,VELO3D INC,VLD,92259N104,1866911,$7803687.98,2.5
14,2022-08-24,ARKX,JD LOGISTICS INC,2618,BNMBPD9,4137226,$7433563.12,2.39
15,2022-08-24,ARKX,GARMIN LTD,GRMN UN,B3Z5T14,78067,$7325026.61,2.35
16,2022-08-24,ARKX,ARCHER AVIATION INC-A,ACHR,03945R102,1938723,$7153887.87,2.3
17,2022-08-24,ARKX,JOBY AVIATION INC,JOBY,G65163100,1286868,$6820400.40,2.19
18,2022-08-24,ARKX,ALPHABET INC-CL C,GOOG,02079K107,58518,$6716110.86,2.16
19,2022-08-24,ARKX,ELBIT SYSTEMS LTD,ESLT,M3760D101,28811,$5906543.11,1.9
20,2022-08-24,ARKX,THALES SA,HO,4162791,46037,$5715846.28,1.83
21,2022-08-24,ARKX,MARKFORGED HOLDING CORP,MKFG,57064N102,2405010,$5699873.70,1.83
22,2022-08-24,ARKX,UNITY SOFTWARE INC,U,91332U101,122344,$5495692.48,1.76
23,2022-08-24,ARKX,3D SYSTEMS CORP,DDD,88554D205,530007,$5406071.40,1.74
24,2022-08-24,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,848574109,169445,$5229072.70,1.68
25,2022-08-24,ARKX,HONEYWELL INTERNATIONAL INC,HON,438516106,23760,$4693788.00,1.51
26,2022-08-24,ARKX,MYNARIC AG,MYNA,62857X101,550995,$4435509.75,1.42
27,2022-08-24,ARKX,SYNOPSYS INC,SNPS,871607107,9993,$3587487.00,1.15
28,2022-08-24,ARKX,HEICO CORP,HEI,422806109,22165,$3549946.40,1.14
29,2022-08-24,ARKX,AIRBUS SE,AIR,4012250,33539,$3439623.11,1.1
30,2022-08-24,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,879360105,8675,$3327556.50,1.07
31,2022-08-24,ARKX,LOCKHEED MARTIN CORP,LMT,539830109,7692,$3331559.04,1.07
32,2022-08-24,ARKX,ANSYS INC,ANSS,03662Q105,11128,$2886158.08,0.93
33,2022-08-24,ARKX,PROTO LABS INC,PRLB,743713109,28603,$1161281.80,0.37
