,date,fund,company,ticker,cusip,shares,market value ($),weight
0,2022-08-24,ARKF,BLOCK INC,SQ,852234103,1258563,$89282459.22,9.77
1,2022-08-24,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,2618006,$85006654.82,9.3
2,2022-08-24,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,946387,$67363826.66,7.37
3,2022-08-24,ARKF,TWILIO INC - A,TWLO,90138F102,806239,$58726448.76,6.42
4,2022-08-24,ARKF,UIPATH INC - CLASS A,PATH,90364P105,3176187,$53582274.69,5.86
5,2022-08-24,ARKF,MERCADOLIBRE INC,MELI,58733R102,59423,$52710577.92,5.77
6,2022-08-24,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,4897740,$44961253.20,4.92
7,2022-08-24,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,2553340,$43559980.40,4.76
8,2022-08-24,ARKF,DISCOVERY LTD,DSY,6177878,5476044,$43341208.96,4.74
9,2022-08-24,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,436003,$40596239.33,4.44
10,2022-08-24,ARKF,ADYEN NV,ADYEN,BZ1HM42,24647,$38750795.89,4.24
11,2022-08-24,ARKF,GLOBAL-E ONLINE LTD,GLBE,M5216V106,1032002,$35335748.48,3.87
12,2022-08-24,ARKF,TOAST INC-CLASS A,TOST,888787108,1608580,$29662215.20,3.24
13,2022-08-24,ARKF,TELADOC HEALTH INC,TDOC,87918A105,902731,$29573467.56,3.23
14,2022-08-24,ARKF,BILL.COM HOLDINGS INC,BILL,090043100,174171,$28546626.90,3.12
15,2022-08-24,ARKF,ZILLOW GROUP INC - C,Z,98954M200,818912,$27376228.16,2.99
16,2022-08-24,ARKF,STONECO LTD-A,STNE,G85158106,2688721,$25139541.35,2.75
17,2022-08-24,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,3225679,$14709096.24,1.61
18,2022-08-24,ARKF,Z HOLDINGS CORP,4689,6084848,4703714,$14510525.30,1.59
19,2022-08-24,ARKF,INTUIT INC,INTU,461202103,31943,$14360295.08,1.57
20,2022-08-24,ARKF,NVIDIA CORP,NVDA,67066G104,81008,$13917984.48,1.52
21,2022-08-24,ARKF,SEA LTD-ADR,SE,81141R100,207194,$13131955.72,1.44
22,2022-08-24,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,BMXZ8G7,205707,$11931006.00,1.31
23,2022-08-24,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,103275,$10993623.75,1.2
24,2022-08-24,ARKF,JD.COM INC-ADR,JD,47215P106,172776,$9882787.20,1.08
25,2022-08-24,ARKF,ROKU INC,ROKU,77543R102,139207,$9584401.95,1.05
26,2022-08-24,ARKF,FARFETCH LTD-CLASS A,FTCH,30744W107,715764,$5611589.76,0.61
27,2022-08-24,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,19367,$795402.69,0.09
28,2022-08-24,ARKF,TWITTER INC,TWTR,90184L102,50,$1993.00,0.0
29,2022-08-24,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,607059,$6070.59,0.0
