,date,fund,company,ticker,cusip,shares,market value ($),weight
0,2022-08-24,PRNT,VELO3D INC,VLD,92259N104,2233711,$9336911.98,4.64
1,2022-08-24,PRNT,AUTODESK INC,ADSK,052769106,40232,$8594762.16,4.27
2,2022-08-24,PRNT,TRIMBLE INC,TRMB,896239100,122769,$8220612.24,4.08
3,2022-08-24,PRNT,FARO TECHNOLOGIES INC,FARO,311642102,235904,$8162278.40,4.06
4,2022-08-24,PRNT,PTC INC,PTC,69370C100,69956,$8021504.74,3.99
5,2022-08-24,PRNT,ANSYS INC,ANSS,03662Q105,29921,$7760310.56,3.86
6,2022-08-24,PRNT,XOMETRY INC-A,XMTR,98423F109,174675,$7760810.25,3.86
7,2022-08-24,PRNT,MICROSOFT CORP,MSFT,594918104,27603,$7630573.32,3.79
8,2022-08-24,PRNT,DESKTOP METAL INC-A,DM,25058X105,2376839,$7605884.80,3.78
9,2022-08-24,PRNT,ALTAIR ENGINEERING INC - A,ALTR,021369103,139318,$7420076.68,3.69
10,2022-08-24,PRNT,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,188300,$7423805.77,3.69
11,2022-08-24,PRNT,MARKFORGED HOLDING CORP,MKFG,57064N102,2717269,$6439927.53,3.2
12,2022-08-24,PRNT,HP INC,HPQ,40434L105,187732,$6270248.80,3.12
13,2022-08-24,PRNT,3D SYSTEMS CORP,DDD,88554D205,614210,$6264942.00,3.11
14,2022-08-24,PRNT,ATLANTIC COASTAL ACQUISITI-A,ACAH,048453104,597897,$5871348.54,2.92
15,2022-08-24,PRNT,STRATASYS LTD,SSYS,M85548101,327037,$5840880.82,2.9
16,2022-08-24,PRNT,SLM SOLUTIONS GROUP AG,AM3D,BMHTHK2,517845,$5833215.54,2.9
17,2022-08-24,PRNT,RENISHAW PLC,RSW,0732358,127024,$5738022.15,2.85
18,2022-08-24,PRNT,STRAUMANN HOLDING AG-REG,STMN SE,BQ7ZV06,48739,$5530881.80,2.75
19,2022-08-24,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,1726669,$5300873.83,2.63
20,2022-08-24,PRNT,PROTO LABS INC,PRLB,743713109,127345,$5170207.00,2.57
21,2022-08-24,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,432837,$4942998.54,2.46
22,2022-08-24,PRNT,BICO GROUP AB,BICO,BKMFJ94,1265567,$4795870.43,2.38
23,2022-08-24,PRNT,FATHOM DIGITAL MANUFACTURING,FATH,31189Y103,1177180,$4320250.60,2.15
24,2022-08-24,PRNT,AMETEK INC,AME,031100100,28463,$3597153.94,1.79
25,2022-08-24,PRNT,HEXAGON AB-B SHS,HEXAB S,BNZFHC1,303354,$3269786.34,1.62
26,2022-08-24,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,12467,$3144551.41,1.56
27,2022-08-24,PRNT,GENERAL ELECTRIC CO,GE,369604301,36125,$2749112.50,1.37
28,2022-08-24,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,18452,$2650076.24,1.32
29,2022-08-24,PRNT,UNITED PARCEL SERVICE-CL B,UPS,911312106,12379,$2541037.33,1.26
30,2022-08-24,PRNT,AEROJET ROCKETDYNE HOLDINGS,AJRD,007800105,56424,$2490555.36,1.24
31,2022-08-24,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,329242,$2496508.50,1.24
32,2022-08-24,PRNT,EXCO TECHNOLOGIES LTD,XTC,2325392,367949,$2431499.93,1.21
33,2022-08-24,PRNT,SIEMENS AG-REG,SIE,5727973,22837,$2349354.44,1.17
34,2022-08-24,PRNT,MOOG INC-CLASS A,MOG/A,615394202,28297,$2347236.15,1.17
35,2022-08-24,PRNT,KAISER ALUMINUM CORP,KALU,483007704,29674,$2295580.64,1.14
36,2022-08-24,PRNT,ARCONIC CORP,ARNC,03966V107,78756,$2090971.80,1.04
37,2022-08-24,PRNT,MICHELIN (CGDE),ML,BPBPJ01,83954,$2079266.65,1.03
38,2022-08-24,PRNT,ATI INC,ATI,01741R102,9932,$313155.96,0.16
39,2022-08-24,PRNT,CARPENTER TECHNOLOGY,CRS,144285103,8169,$301436.10,0.15
40,2022-08-24,PRNT,XEROX HOLDINGS CORP,XRX,98421M106,16170,$285562.20,0.14
41,2022-08-24,PRNT,SGL CARBON SE,SGL,4818351,38073,$268707.72,0.13
42,2022-08-24,PRNT,HEXCEL CORP,HXL,428291108,4210,$255715.40,0.13
43,2022-08-24,PRNT,3M CO,MMM,88579Y101,1787,$253307.25,0.13
44,2022-08-24,PRNT,EASTMAN KODAK CO,KODK,277461406,45988,$257072.92,0.13
45,2022-08-24,PRNT,TORAY INDUSTRIES INC,3402,6897143,43453,$245829.72,0.12
46,2022-08-24,PRNT,HENKEL AG & CO KGAA VOR-PREF,HEN3,5076705,3714,$244351.85,0.12
47,2022-08-24,PRNT,VOESTALPINE AG,VOE,4943402,11738,$242913.27,0.12
