,date,fund,company,ticker,cusip,shares,market value ($),weight
0,2022-08-24,IZRL,TEVA PHARMACEUTICAL-SP ADR,TEVA,881624209,338384,$3404143.04,2.87
1,2022-08-24,IZRL,RISKIFIED LTD-A,RSKD,M8216R109,585626,$3103817.80,2.62
2,2022-08-24,IZRL,WALKME LTD,WKME,M97628107,252111,$3063148.65,2.58
3,2022-08-24,IZRL,ONE SOFTWARE TECHNOLOGIES LT,ONE,6987709,154070,$2867394.89,2.42
4,2022-08-24,IZRL,CELLCOM ISRAEL LTD,CEL,B23WQK8,456368,$2841864.81,2.4
5,2022-08-24,IZRL,SILICOM LTD,SILC,M84116108,66905,$2846807.75,2.4
6,2022-08-24,IZRL,PARTNER COMMUNICATIONS CO,PTNR,6374420,311121,$2714635.14,2.29
7,2022-08-24,IZRL,FATTAL HOLDINGS 1998 LTD,FTAL,BG1YKN5,21421,$2705209.94,2.28
8,2022-08-24,IZRL,MONDAY.COM LTD,MNDY,M7S64H106,22542,$2708421.30,2.28
9,2022-08-24,IZRL,BEZEQ THE ISRAELI TELECOM CO,BEZQ,6098032,1500490,$2696550.06,2.27
10,2022-08-24,IZRL,HILAN LTD,HLAN,6267230,42444,$2674231.24,2.26
11,2022-08-24,IZRL,ITURAN LOCATION AND CONTROL,ITRN,M6158M104,99502,$2667648.62,2.25
12,2022-08-24,IZRL,INMODE LTD,INMD,M5425M103,83325,$2671399.50,2.25
13,2022-08-24,IZRL,NOVA LTD,NVMI,M7516K103,24303,$2639548.83,2.23
14,2022-08-24,IZRL,RADA ELECTRONIC INDS LTD,RADA,M81863124,254756,$2631629.48,2.22
15,2022-08-24,IZRL,MATRIX IT LTD,MTRX,6747754,98518,$2624050.09,2.21
16,2022-08-24,IZRL,CYBERARK SOFTWARE LTD/ISRAEL,CYBR,M2682V108,17543,$2603556.63,2.2
17,2022-08-24,IZRL,COGNYTE SOFTWARE LTD,CGNT,M25133105,556752,$2594464.32,2.19
18,2022-08-24,IZRL,NANO-X IMAGING LTD,NNOX,M70700105,182046,$2574130.44,2.17
19,2022-08-24,IZRL,HUB CYBER SECURITY ISRAEL LT,HUB,6226617,1416744,$2559061.22,2.16
20,2022-08-24,IZRL,NICE LTD - SPON ADR,NICE,653656108,11642,$2531552.90,2.14
21,2022-08-24,IZRL,GILAT SATELLITE NETWORKS LTD,GILT,M51474118,370369,$2525916.58,2.13
22,2022-08-24,IZRL,PERION NETWORK LTD,PERI,M78673114,124275,$2519054.25,2.12
23,2022-08-24,IZRL,JFROG LTD,FROG,M6191J100,108751,$2501273.00,2.11
24,2022-08-24,IZRL,TUFIN SOFTWARE TECHNOLOGIES,TUFN,M8893U102,196116,$2474983.92,2.09
25,2022-08-24,IZRL,TOWER SEMICONDUCTOR LTD,TSEM,M87915274,53472,$2479496.64,2.09
26,2022-08-24,IZRL,WIX.COM LTD,WIX,M98068105,36708,$2467144.68,2.08
27,2022-08-24,IZRL,MALAM - TEAM LTD,MLTM,6875923,103582,$2464327.83,2.08
28,2022-08-24,IZRL,IRONSOURCE LTD-A,IS,M5R75Y101,583202,$2414456.28,2.04
29,2022-08-24,IZRL,CAMTEK LTD,CAMT,M20791105,82670,$2394949.90,2.02
30,2022-08-24,IZRL,DANEL (ADIR YEOSHUA) LTD,DANE,6253433,19121,$2363233.49,1.99
31,2022-08-24,IZRL,AUDIOCODES LTD,AUDC,M15342104,105214,$2361002.16,1.99
32,2022-08-24,IZRL,CHECK POINT SOFTWARE TECH,CHKP,M22465104,19254,$2347832.76,1.98
33,2022-08-24,IZRL,FIVERR INTERNATIONAL LTD,FVRR,M4R82T106,64601,$2289459.44,1.93
34,2022-08-24,IZRL,RADWARE LTD,RDWR,M81873107,108868,$2279695.92,1.92
35,2022-08-24,IZRL,MAGIC SOFTWARE ENTERPRISES,MGIC,6328074,125209,$2275830.31,1.92
36,2022-08-24,IZRL,ELBIT SYSTEMS LTD,ESLT,6308913,10968,$2255485.66,1.9
37,2022-08-24,IZRL,UROGEN PHARMA LTD,URGN UQ,M96088105,284149,$2230569.65,1.88
38,2022-08-24,IZRL,STRATASYS LTD,SSYS,M85548101,122928,$2195494.08,1.85
39,2022-08-24,IZRL,TABOOLA.COM LTD,TBLA,M8744T106,826688,$2149388.80,1.81
40,2022-08-24,IZRL,TARO PHARMACEUTICAL INDUS,TARO,M8737E108,61819,$2133991.88,1.8
41,2022-08-24,IZRL,CERAGON NETWORKS LTD,CRNT,M22013102,930525,$2130902.25,1.8
42,2022-08-24,IZRL,SAPIENS INTERNATIONAL CORP,SPNS,G7T16G103,97070,$2101565.50,1.77
43,2022-08-24,IZRL,CELLEBRITE DI LTD,CLBT,M2197Q107,427887,$2096646.30,1.77
44,2022-08-24,IZRL,ALLOT LTD,ALLT,M0854Q105,434667,$1990774.86,1.68
45,2022-08-24,IZRL,PLAYTIKA HOLDING CORP,PLTK,72815L107,187752,$1935723.12,1.63
46,2022-08-24,IZRL,SIMILARWEB LTD,SMWB,M84137104,232504,$1911182.88,1.61
47,2022-08-24,IZRL,COMPUGEN LTD,CGEN,M25722105,1167548,$1482785.96,1.25
