,date,fund,company,ticker,cusip,shares,market value ($),weight
0,2022-08-23,ARKW,TESLA INC,TSLA,88160R101,152092,$132280496.08,9.18
1,2022-08-23,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,1103187,$107494541.28,7.46
2,2022-08-23,ARKW,ROKU INC,ROKU,77543R102,1505305,$106861601.95,7.42
3,2022-08-23,ARKW,BLOCK INC,SQ,852234103,1275117,$93096292.17,6.46
4,2022-08-23,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,1262043,$90198213.21,6.26
5,2022-08-23,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,5971459,$77270679.46,5.36
6,2022-08-23,ARKW,DRAFTKINGS INC-CL A,DKNG UW,26142V105,4248181,$73238640.44,5.08
7,2022-08-23,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,2060085,$68353620.30,4.74
8,2022-08-23,ARKW,TWILIO INC - A,TWLO,90138F102,901224,$66077743.68,4.59
9,2022-08-23,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,1566051,$64991116.50,4.51
10,2022-08-23,ARKW,TELADOC HEALTH INC,TDOC,87918A105,1885974,$61690209.54,4.28
11,2022-08-23,ARKW,UIPATH INC - CLASS A,PATH,90364P105,3220132,$54935451.92,3.81
12,2022-08-23,ARKW,UNITY SOFTWARE INC,U,91332U101,1111152,$50224070.40,3.49
13,2022-08-23,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,359016,$39348153.60,2.73
14,2022-08-23,ARKW,PAGERDUTY INC,PD,69553P100,1475051,$37761305.60,2.62
15,2022-08-23,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,3804620,$34393764.80,2.39
16,2022-08-23,ARKW,MONDAY.COM LTD,MNDY,M7S64H106,244472,$30170289.52,2.09
17,2022-08-23,ARKW,VUZIX CORP,VUZI,92921W300,3959234,$30129770.74,2.09
18,2022-08-23,ARKW,MERCADOLIBRE INC,MELI,58733R102,32594,$28620465.46,1.99
19,2022-08-23,ARKW,NVIDIA CORP,NVDA,67066G104,148565,$25306562.10,1.76
20,2022-08-23,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,316874,$20843971.72,1.45
21,2022-08-23,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,5174083,$20748072.83,1.44
22,2022-08-23,ARKW,VERACYTE INC,VCYT,92337F107,941006,$19930507.08,1.38
23,2022-08-23,ARKW,NANO DIMENSION LTD - ADR,NNDM,63008G203,5947544,$18437386.40,1.28
24,2022-08-23,ARKW,ADYEN NV-UNSPON ADR,ADYEY,00783V104,1134797,$18043272.30,1.25
25,2022-08-23,ARKW,NEXTDOOR HOLDINGS INC,KIND,65345M108,5000332,$16701108.88,1.16
26,2022-08-23,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,85037,$15806677.56,1.1
27,2022-08-23,ARKW,SEA LTD-ADR,SE,81141R100,172777,$11109561.10,0.77
28,2022-08-23,ARKW,ENDEAVOR GROUP HOLD-CLASS A,EDR  UN,29260Y109,465117,$10460481.33,0.73
29,2022-08-23,ARKW,2U INC,TWOU,90214J101,1151829,$8615680.92,0.6
30,2022-08-23,ARKW,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,1575008,$7134786.24,0.5
