,date,fund,company,ticker,cusip,shares,market value ($),weight
0,2022-08-23,ARKQ,TESLA INC,TSLA,88160R101,150797,$131154182.78,11.3
1,2022-08-23,ARKQ,TRIMBLE INC,TRMB,896239100,1461824,$98307664.00,8.47
2,2022-08-23,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,6618836,$93788906.12,8.08
3,2022-08-23,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,1575945,$71059360.05,6.12
4,2022-08-23,ARKQ,UIPATH INC - CLASS A,PATH,90364P105,3835055,$65426038.30,5.64
5,2022-08-23,ARKQ,AEROVIRONMENT INC,AVAV,008073108,618933,$61924246.65,5.34
6,2022-08-23,ARKQ,DEERE & CO,DE,244199105,155658,$57537423.12,4.96
7,2022-08-23,ARKQ,TERADYNE INC,TER,880770102,424773,$39257520.66,3.38
8,2022-08-23,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,1816402,$37744833.56,3.25
9,2022-08-23,ARKQ,3D SYSTEMS CORP,DDD,88554D205,2808817,$29689195.69,2.56
10,2022-08-23,ARKQ,BLADE AIR MOBILITY INC,BLDE,092667104,5710265,$29579172.70,2.55
11,2022-08-23,ARKQ,ARCHER AVIATION INC-A,ACHR,03945R102,7783700,$28488342.00,2.45
12,2022-08-23,ARKQ,VELO3D INC,VLD,92259N104,6973983,$27477493.02,2.37
13,2022-08-23,ARKQ,ELBIT SYSTEMS LTD,ESLT,M3760D101,124642,$25499260.36,2.2
14,2022-08-23,ARKQ,MARKFORGED HOLDING CORP,MKFG,57064N102,10489140,$25488610.20,2.2
15,2022-08-23,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,349198,$24513699.60,2.11
16,2022-08-23,ARKQ,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,3233600,$24025648.00,2.07
17,2022-08-23,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,209070,$24057684.90,2.07
18,2022-08-23,ARKQ,UNITY SOFTWARE INC,U,91332U101,499701,$22586485.20,1.95
19,2022-08-23,ARKQ,VUZIX CORP,VUZI,92921W300,2763242,$21028271.62,1.81
20,2022-08-23,ARKQ,MAGNA INTERNATIONAL INC,MGA,559222401,360458,$20874122.78,1.8
21,2022-08-23,ARKQ,NANO DIMENSION LTD - ADR,NNDM,63008G203,6698294,$20764711.40,1.79
22,2022-08-23,ARKQ,XPENG INC - ADR,XPEV,98422D105,906321,$19032741.00,1.64
23,2022-08-23,ARKQ,CATERPILLAR INC,CAT,149123101,98730,$18932464.80,1.63
24,2022-08-23,ARKQ,PROTO LABS INC,PRLB,743713109,418904,$17573022.80,1.51
25,2022-08-23,ARKQ,STRATASYS LTD,SSYS,M85548101,816530,$14681209.40,1.27
26,2022-08-23,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,2362299,$14173794.00,1.22
27,2022-08-23,ARKQ,SYNOPSYS INC,SNPS,871607107,38519,$13793653.90,1.19
28,2022-08-23,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,879360105,35474,$13674162.78,1.18
29,2022-08-23,ARKQ,ANSYS INC,ANSS,03662Q105,49036,$12884699.36,1.11
30,2022-08-23,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,55742,$12181856.68,1.05
31,2022-08-23,ARKQ,LOCKHEED MARTIN CORP,LMT,539830109,27266,$11787909.78,1.02
32,2022-08-23,ARKQ,MATERIALISE NV-ADR,MTLS,57667T100,1017595,$11732870.35,1.01
33,2022-08-23,ARKQ,NIO INC - ADR,NIO,62914V106,372097,$7051238.15,0.61
34,2022-08-23,ARKQ,GENERAL MOTORS CO,GM,37045V100,144624,$5575255.20,0.48
35,2022-08-23,ARKQ,2U INC,TWOU,90214J101,636718,$4762650.64,0.41
36,2022-08-23,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,68620A203,90090,$249549.30,0.02
